#,句子,模型_intent,模型_skill,模型_slots,延迟_ms,预期_intent,预期_skill,预期_slots,判定,失败原因,真实意图(你填)
1,今天天气真好啊,chat,,,1080,chat,,,PASS,,
2,你觉得人为什么会焦虑,chat,,,492,chat,,,PASS,,
3,讲个冷笑话听听,chat,,,1143,chat,,,PASS,,
4,我饿了,chat,,,886,chat,,,PASS,,
5,什么是量子纠缠,chat,,,3057,chat,,,PASS,,
6,帮我想个周末计划,chat,,,1419,chat,,,PASS,,
7,最近睡眠不太好，有什么建议,chat,,,495,chat,,,PASS,,
8,这首歌挺好听的,chat,,,492,chat,,,PASS,,
9,放首歌,action,play_music,"query:"""", shuffle:true",1455,action,play_music,,PASS,,
10,播放周杰伦的夜曲,action,play_music,"query:""夜曲"", shuffle:true",1512,action,play_music,,PASS,,
11,暂停,action,music_control,"action:""pause""",1335,action,music_control,"action:""pause""",PASS,,
12,继续播放,action,music_control,"action:""shuffle"", value:true",1491,action,music_control,"action:""pause""",FAIL,slot.action=shuffle want=pause,
13,循环播放,action,music_control,"action:""repeat"", value:""all""",1543,action,music_control,"action:""repeat""",PASS,,
14,放第三首,action,play_music,"query:""第三首"", shuffle:true",1545,action,play_music,,PASS,,
15,随便放点轻音乐,action,play_music,"query:""轻音乐"", shuffle:true",1521,action,play_music,,PASS,,
16,声音大一点,action,music_control,"action:""volume"", value:80",1576,action,music_control,"action:""volume""",PASS,,
17,开灯,action,smart_device,"action:""on"", device:""灯""",1552,action,smart_device,"action:""on""",PASS,,
18,关掉客厅的灯,action,smart_device,"action:""off"", device:""客厅 灯""",1636,action,smart_device,"action:""off""",PASS,,
19,把卧室灯调暗一点,chat,,,802,chat,,,PASS,,
20,开空气净化器,action,smart_device,"action:""on"", device:""空气净化器""",1603,action,smart_device,"action:""on""",PASS,,
21,把灯光调到暖色,chat,,,930,chat,,,PASS,,
22,关掉所有灯,action,smart_device,"action:""off"", device:""所有 灯""",1642,action,smart_device,"action:""off""",PASS,,
23,把风扇关掉,action,smart_device,"action:""off"", device:""风扇""",1560,action,smart_device,"action:""off""",PASS,,
24,我心情不好，想听首歌,action,play_music,"query:""一首歌"", shuffle:true",1528,action,play_music,,PASS,,
25,好烦，把它关了吧,unclear,,,769,unclear,,,PASS,,
26,灯光能不能再柔和点,chat,,,1108,chat,,,PASS,,
27,帮我订明天去北京的机票,chat,,,987,chat,,,PASS,,
28,那个…放个…算了,unclear,,,958,unclear,,,PASS,,
29,帮我…,unclear,,,841,unclear,,,PASS,,
30,嗯,chat,,,402,chat,,,PASS,,
31,你说呢,chat,,,406,chat,,,PASS,,
32,把空调调到 26 度,chat,,,803,chat,,,PASS,,
